,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep1_M50,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep2_M51,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep3_M52,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep4_M53,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep5_M54,Mmus_C57.6J_BRN_HLLC_IR_1mon_Rep6_M55,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep1_M62,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep2_M63,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep3_M64,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep4_M65,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep5_M66,Mmus_C57.6J_BRN_HLLC_IRC_1mon_Rep6_M67
ENSMUSG00000001739,3,0,1,0,0,0,0,1,0,1,3,2
ENSMUSG00000001741,36,101,129,315,171,80,96,19,14,110,176,103
ENSMUSG00000001750,74,47,80,40,69,47,64,59,64,63,104,78
ENSMUSG00000001751,76,80,84,91,77,64,74,56,68,52,50,80
ENSMUSG00000001755,171,175,162,122,156,146,106,111,118,133,148,155
ENSMUSG00000001761,204,170,449,165,263,198,269,217,339,293,255,330
ENSMUSG00000001763,219,190,173,132,173,158,169,95,178,133,128,202
ENSMUSG00000001767,254,257,278,236,303,250,178,216,218,262,317,315
ENSMUSG00000001768,346,330,509,465,542,390,388,393,440,470,626,594
ENSMUSG00000001773,105,81,165,69,112,74,107,156,174,146,133,158
ENSMUSG00000001774,585,658,701,574,844,652,522,630,648,641,895,913
ENSMUSG00000001783,1007,755,908,677,861,840,657,725,776,768,815,1000
ENSMUSG00000001785,255,175,223,189,210,209,170,155,172,200,212,263
ENSMUSG00000001786,270,215,337,197,300,201,248,215,276,278,288,275
ENSMUSG00000001794,1648,1341,1832,1173,1356,1386,1025,1051,1406,1101,1274,1881
ENSMUSG00000001802,744,634,589,555,650,733,476,420,525,527,721,808
ENSMUSG00000001804,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001815,0,0,12,0,1,0,0,2,3,0,2,3
ENSMUSG00000001819,0,0,0,0,0,0,0,0,0,0,1,1
ENSMUSG00000001823,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001827,17,82,11,21,7,0,25,0,17,1,2,0
ENSMUSG00000001829,850,660,709,553,632,808,494,526,482,524,730,850
ENSMUSG00000001833,5305,4765,5099,5171,5784,5848,4173,3753,3579,4834,8039,6086
ENSMUSG00000001844,168,138,171,156,163,161,115,116,129,142,139,157
ENSMUSG00000001847,3676,2941,3434,2851,3257,3438,2511,2591,2608,2649,3553,3881
ENSMUSG00000001855,976,734,742,697,759,828,583,551,601,715,826,896
ENSMUSG00000001864,54,64,99,101,121,52,100,78,95,111,144,92
ENSMUSG00000001865,4,1,7,0,0,0,1,1,2,5,0,4
ENSMUSG00000001870,129,98,131,136,105,126,77,62,86,82,166,138
ENSMUSG00000001891,567,495,654,606,575,536,503,460,450,517,743,665
ENSMUSG00000001901,65,41,47,19,33,38,15,31,35,23,53,33
ENSMUSG00000001909,326,275,280,301,327,297,225,205,233,255,375,293
ENSMUSG00000001910,2059,1777,1676,1826,1763,1918,1400,1230,1362,1573,1887,2034
ENSMUSG00000001911,7421,5751,6594,8316,7714,8269,3632,1962,2899,6182,10811,8072
ENSMUSG00000001918,13,4,16,8,5,6,11,7,7,11,9,13
ENSMUSG00000001924,5186,4220,4256,3418,4198,4930,2953,2829,3224,3360,3995,5146
ENSMUSG00000001930,253,208,468,339,280,291,201,162,204,199,214,389
ENSMUSG00000001942,186,214,251,202,243,173,152,198,209,181,237,275
ENSMUSG00000001943,5,10,10,17,18,7,7,7,5,11,39,7
ENSMUSG00000001946,69,85,104,92,111,84,74,66,71,97,87,82
ENSMUSG00000001948,32,41,46,25,41,28,13,32,42,29,33,21
ENSMUSG00000001962,268,163,210,157,191,214,124,139,169,161,236,210
ENSMUSG00000001964,269,210,264,227,298,275,180,173,212,235,316,310
ENSMUSG00000001983,112,113,116,101,114,120,82,62,88,85,104,143
ENSMUSG00000001985,2110,1364,776,898,929,1668,662,906,686,867,1274,1501
ENSMUSG00000001986,4282,3457,2473,2590,2678,3790,1988,1557,932,1924,3703,3147
ENSMUSG00000001988,63,29,72,43,53,70,17,39,41,38,72,71
ENSMUSG00000001995,841,885,1401,1151,1523,932,907,696,1379,1308,1408,1672
ENSMUSG00000001998,107,84,104,102,126,103,76,77,79,78,152,121
ENSMUSG00000001999,83,124,144,105,147,102,100,111,131,111,174,139
ENSMUSG00000002006,2252,1429,1490,1343,1383,1720,1209,1255,1054,1367,1758,1518
ENSMUSG00000002007,13,8,5,10,10,5,15,4,17,11,18,11
ENSMUSG00000002010,1092,930,1300,951,1182,1151,692,858,928,992,1355,1354
ENSMUSG00000002012,513,414,491,203,355,440,223,433,495,261,367,522
ENSMUSG00000002014,200,179,292,195,233,169,202,250,267,234,301,221
ENSMUSG00000002015,332,230,380,293,365,236,267,289,394,307,373,362
ENSMUSG00000002017,367,298,512,390,465,394,322,279,394,386,492,556
ENSMUSG00000002020,4,2,9,2,0,2,3,3,2,0,1,3
ENSMUSG00000002028,3800,2819,2950,2868,3670,3977,2041,2515,2534,2634,4659,3946
ENSMUSG00000002031,371,322,393,269,330,351,232,230,304,304,349,426
ENSMUSG00000002032,227,234,266,271,302,259,212,147,243,249,350,349
ENSMUSG00000002033,1,1,2,1,1,0,1,0,0,1,0,0
ENSMUSG00000002043,61,63,54,69,71,44,70,48,67,58,68,55
ENSMUSG00000002052,4728,3185,3220,2831,3112,4104,2071,2146,2170,2485,3391,3823
ENSMUSG00000002055,57,30,61,35,42,51,44,20,53,71,96,57
ENSMUSG00000002057,0,0,0,0,0,0,0,0,3,0,0,0
ENSMUSG00000002058,208,116,209,156,173,191,132,126,207,164,155,217
ENSMUSG00000002059,55,44,54,46,46,48,37,64,64,66,54,58
ENSMUSG00000002064,267,246,295,230,311,221,230,241,299,267,321,257
ENSMUSG00000002068,172,117,151,82,132,130,108,65,66,113,133,141
ENSMUSG00000002076,4,1,1,2,3,1,4,5,3,0,1,2
ENSMUSG00000002083,69,38,44,24,22,46,11,12,27,17,26,41
ENSMUSG00000002100,0,1,1,0,3,0,1,3,1,0,7,4
ENSMUSG00000002102,1415,1177,1247,1138,1310,1274,922,875,949,1134,1414,1366
ENSMUSG00000002103,962,775,800,643,787,805,603,560,642,613,849,924
ENSMUSG00000002104,9,1,7,5,3,2,3,7,8,3,4,8
ENSMUSG00000002105,232,177,270,209,256,208,195,172,210,212,253,267
ENSMUSG00000002107,6864,5343,3791,4580,4352,6759,3509,3456,1812,3191,5681,5661
ENSMUSG00000002108,14,17,41,42,29,29,27,43,29,32,34,29
ENSMUSG00000002109,52,34,52,55,67,40,45,31,40,47,80,69
ENSMUSG00000002111,51,39,71,37,41,35,38,50,41,26,38,49
ENSMUSG00000002129,1165,910,860,725,929,985,612,632,738,728,926,1162
ENSMUSG00000002147,101,129,117,133,113,130,90,68,57,86,128,136
ENSMUSG00000002190,128,113,254,126,183,153,141,83,215,160,165,216
ENSMUSG00000002204,1,0,1,0,3,1,1,1,0,0,0,0
ENSMUSG00000002205,184,176,192,215,187,199,183,209,137,165,202,223
ENSMUSG00000002210,261,200,164,171,202,246,134,122,132,189,237,229
ENSMUSG00000002221,677,541,611,623,584,691,483,441,428,486,726,702
ENSMUSG00000002222,1677,1658,1486,1646,1890,1875,1404,1309,1305,1586,1887,2158
ENSMUSG00000002227,85,58,67,35,40,62,56,42,53,24,73,64
ENSMUSG00000002228,0,2,3,3,9,0,7,3,7,9,4,7
ENSMUSG00000002233,161,148,203,132,216,147,142,143,170,169,209,181
ENSMUSG00000002240,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000002249,21,28,29,17,24,20,22,21,30,29,20,25
ENSMUSG00000002250,336,287,401,510,585,362,546,240,383,564,612,495
ENSMUSG00000002257,24,21,23,33,22,25,15,12,28,30,38,47
ENSMUSG00000002265,6896,5644,7434,3810,6988,5559,4593,6841,10821,5848,5664,8809
ENSMUSG00000002266,77,109,159,42,91,38,53,158,326,80,64,106
ENSMUSG00000002274,298,333,578,513,563,278,435,470,650,623,483,455
ENSMUSG00000002279,184,168,169,153,185,145,112,139,128,111,195,200
ENSMUSG00000002280,189,148,169,159,178,147,151,158,120,134,186,157
ENSMUSG00000002289,35,26,35,15,17,32,12,34,33,31,12,58
ENSMUSG00000002297,10,9,10,9,7,8,3,4,13,10,11,7
ENSMUSG00000002307,211,201,187,148,196,209,87,120,106,174,225,261
ENSMUSG00000002308,82,82,111,83,86,94,62,84,91,54,96,102
ENSMUSG00000002319,873,595,653,474,656,765,468,367,465,507,596,942
ENSMUSG00000002320,278,178,187,165,175,219,169,152,155,181,150,242
ENSMUSG00000002324,17,14,27,4,33,10,24,35,70,15,17,26
ENSMUSG00000002325,48,37,92,66,74,59,65,69,65,42,74,79
ENSMUSG00000002326,134,97,143,100,135,114,115,113,97,127,120,154
ENSMUSG00000002329,217,217,209,185,207,207,175,125,159,176,231,217
ENSMUSG00000002332,377,338,404,291,387,329,283,268,303,369,358,470
ENSMUSG00000002341,6393,4948,3943,4180,3940,5671,3333,3535,2141,3517,5188,5073
ENSMUSG00000002342,190,141,129,136,164,176,119,112,124,151,177,179
ENSMUSG00000002343,125,98,118,77,95,114,64,52,86,90,103,143
ENSMUSG00000002345,196,192,252,163,221,196,178,138,181,200,223,188
ENSMUSG00000002346,248,240,216,214,251,240,209,194,182,212,306,324
ENSMUSG00000002365,138,128,169,154,184,142,163,108,198,154,160,203
ENSMUSG00000002372,621,553,545,474,576,579,365,348,371,441,487,617
ENSMUSG00000002379,298,333,426,363,401,275,372,360,367,403,522,388
ENSMUSG00000002384,1,1,0,1,2,0,3,1,6,0,6,1
ENSMUSG00000002393,194,184,190,141,211,184,155,140,128,188,197,179
ENSMUSG00000002395,410,383,519,433,472,385,410,492,481,499,557,461
ENSMUSG00000002396,182,138,114,128,101,157,113,143,88,94,151,122
ENSMUSG00000002409,574,479,436,420,450,485,435,359,326,418,543,468
ENSMUSG00000002413,2788,2432,2017,2359,2342,2970,1900,1756,1504,1791,2782,2745
ENSMUSG00000002416,684,801,993,840,922,657,830,963,968,970,1012,827
ENSMUSG00000002428,511,416,480,314,474,407,287,380,440,375,515,584
ENSMUSG00000002455,890,652,695,570,718,778,437,468,605,520,728,914
ENSMUSG00000002458,219,188,209,151,160,187,117,131,110,175,191,193
ENSMUSG00000002459,341,368,254,313,302,328,298,346,211,281,416,308
ENSMUSG00000002475,408,365,613,465,554,369,469,532,507,546,600,609
ENSMUSG00000002477,578,461,667,557,636,504,419,515,605,702,763,512
ENSMUSG00000002486,137,105,113,94,114,127,67,93,120,90,117,139
ENSMUSG00000002489,3153,2073,1474,1358,1490,2274,1646,1324,738,1564,1346,2045
ENSMUSG00000002496,1554,1366,1369,1257,1377,1618,1065,996,898,1100,1527,1678
ENSMUSG00000002500,0,1,7,1,1,4,1,1,2,0,0,3
ENSMUSG00000002504,315,356,438,305,408,309,245,291,326,333,391,468
ENSMUSG00000002524,1204,987,1108,745,1042,1111,769,747,775,873,1073,1178
ENSMUSG00000002546,1440,1008,1075,1023,1054,1324,757,699,786,952,1153,1314
ENSMUSG00000002550,248,177,225,214,248,251,169,203,206,249,238,285
ENSMUSG00000002565,5,0,2,2,5,3,2,0,0,1,1,2
ENSMUSG00000002578,315,194,170,162,180,264,143,165,123,142,224,285
ENSMUSG00000002580,490,520,596,525,562,417,445,578,489,502,754,460
ENSMUSG00000002588,2,1,0,0,0,0,1,1,1,0,0,0
ENSMUSG00000002602,469,405,540,477,459,363,463,440,523,465,555,587
ENSMUSG00000002603,136,87,136,97,98,103,80,111,79,61,105,138
ENSMUSG00000002608,710,596,582,490,615,740,474,419,489,489,606,748
ENSMUSG00000002617,237,181,202,149,165,196,137,172,155,136,296,227
ENSMUSG00000002625,613,513,557,503,598,565,409,462,454,451,818,553
ENSMUSG00000002633,50,40,61,27,79,50,56,69,113,57,47,77
ENSMUSG00000002635,84,86,71,69,84,60,71,63,60,67,126,93
ENSMUSG00000002658,912,728,833,708,872,939,516,519,628,697,872,902
ENSMUSG00000002660,462,395,503,390,525,352,371,436,463,443,515,491
ENSMUSG00000002661,150,131,173,128,178,117,150,173,142,169,179,151
ENSMUSG00000002664,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002668,3,8,10,7,10,7,16,7,6,3,14,10
ENSMUSG00000002679,59,73,66,64,83,65,78,79,64,80,120,80
ENSMUSG00000002688,99,89,117,103,142,61,131,113,82,106,152,134
ENSMUSG00000002699,108,36,93,22,53,54,47,47,32,16,42,59
ENSMUSG00000002718,637,633,691,475,655,705,477,358,471,522,659,866
ENSMUSG00000002728,222,222,339,270,309,253,336,297,298,296,458,288
ENSMUSG00000002731,174,151,230,104,180,141,148,128,204,188,172,206
ENSMUSG00000002732,21,11,30,29,21,20,17,29,35,26,27,33
ENSMUSG00000002733,441,440,466,451,480,492,332,394,332,416,560,494
ENSMUSG00000002741,656,547,505,473,481,528,396,327,389,488,620,618
ENSMUSG00000002748,2097,1671,1727,1488,1817,1933,1191,1230,1411,1534,2069,2226
ENSMUSG00000002763,584,542,482,423,414,468,338,384,409,417,482,548
ENSMUSG00000002767,178,156,162,148,176,157,107,117,136,176,163,173
ENSMUSG00000002768,776,600,775,541,712,721,514,556,693,652,804,774
ENSMUSG00000002769,0,3,1,3,1,3,9,1,5,2,2,3
ENSMUSG00000002771,417,281,461,282,605,341,315,419,814,538,315,538
ENSMUSG00000002778,671,519,489,485,520,582,395,384,430,388,539,670
ENSMUSG00000002781,152,142,153,119,130,153,108,97,122,138,169,172
ENSMUSG00000002791,0,0,2,1,0,1,0,1,0,0,2,0
ENSMUSG00000002797,207,218,278,237,254,224,167,229,195,228,266,283
ENSMUSG00000002799,450,259,307,249,290,363,227,250,337,260,326,381
ENSMUSG00000002803,484,394,355,434,446,472,345,313,368,384,493,566
ENSMUSG00000002804,42,42,41,35,58,27,39,30,39,38,42,45
ENSMUSG00000002808,756,835,874,833,890,735,565,670,707,738,1055,998
ENSMUSG00000002812,735,670,913,615,844,767,550,600,885,685,792,1064
ENSMUSG00000002814,67,54,68,54,59,34,31,34,40,59,63,56
ENSMUSG00000002820,98,128,142,183,181,112,171,112,139,172,220,158
ENSMUSG00000002825,48,41,55,45,52,65,33,35,25,46,42,44
ENSMUSG00000002831,24,28,63,33,36,20,20,31,62,58,42,67
ENSMUSG00000002833,995,719,715,608,674,822,470,489,467,530,739,904
ENSMUSG00000002835,70,58,65,50,62,58,64,30,32,46,66,62
ENSMUSG00000002844,821,665,770,609,745,746,585,507,627,609,735,845
ENSMUSG00000002845,48,56,67,51,53,38,56,51,63,59,88,79
ENSMUSG00000002846,178,157,206,134,204,159,114,160,154,166,196,214
ENSMUSG00000002847,10,2,12,7,4,13,6,4,4,6,11,4
ENSMUSG00000002870,58,55,74,57,49,62,44,28,40,47,40,87
ENSMUSG00000002871,144,130,156,116,161,154,96,148,141,100,186,171
ENSMUSG00000002881,513,524,828,633,801,640,659,588,635,704,1035,833
ENSMUSG00000002885,117,117,164,92,137,109,110,121,150,112,150,170
ENSMUSG00000002897,198,208,139,184,211,241,122,65,93,129,245,172
ENSMUSG00000002900,451,289,280,246,234,399,246,228,146,235,225,364
ENSMUSG00000002908,173,167,177,221,241,220,183,119,123,207,258,253
ENSMUSG00000002910,59,44,87,108,59,44,49,42,66,62,72,114
ENSMUSG00000002930,4,7,16,0,4,1,3,18,40,2,7,8
ENSMUSG00000002944,60,40,35,5,9,15,13,19,16,5,12,19
ENSMUSG00000002948,1012,840,1031,1002,1016,890,823,772,849,913,999,1148
ENSMUSG00000002949,254,265,300,258,314,239,205,240,220,219,339,307
ENSMUSG00000002957,3547,2521,2278,2207,2076,3084,1602,1250,1645,1670,2114,3084
ENSMUSG00000002963,96,94,103,100,127,116,88,72,101,85,147,98
ENSMUSG00000002968,908,712,695,816,752,745,607,525,567,678,1046,901
ENSMUSG00000002980,134,159,233,132,174,126,134,106,254,157,152,223
ENSMUSG00000002981,2251,1901,2022,1752,2040,2136,1408,1466,1399,1526,2087,2404
ENSMUSG00000002983,45,28,47,28,30,34,14,25,12,21,38,34
ENSMUSG00000002984,793,650,667,527,704,825,446,435,463,574,703,819
ENSMUSG00000002985,18117,14653,23986,17237,18453,15088,17139,17819,18241,18193,20356,18381
ENSMUSG00000002992,0,0,0,0,1,0,0,0,1,1,0,0
ENSMUSG00000002996,190,188,276,210,254,189,260,214,242,221,302,260
ENSMUSG00000002997,956,851,584,409,572,828,488,928,425,471,667,909
ENSMUSG00000003031,559,458,586,516,649,594,515,387,509,562,648,702
ENSMUSG00000003032,92,113,142,202,197,164,87,53,117,104,218,177
ENSMUSG00000003033,697,520,574,429,505,604,438,391,405,442,530,690
ENSMUSG00000003037,431,351,424,350,463,398,313,299,370,452,511,476
ENSMUSG00000003038,470,426,589,556,619,489,459,602,525,581,660,615
ENSMUSG00000003039,961,670,1073,872,941,870,732,690,827,838,968,1059
ENSMUSG00000003051,2,0,4,0,0,0,0,1,1,0,0,4
ENSMUSG00000003053,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000003062,124,164,179,126,174,112,151,149,163,120,199,197
ENSMUSG00000003068,661,602,572,692,782,642,500,499,594,602,763,787
ENSMUSG00000003070,98,72,69,58,77,73,70,58,59,89,106,107
ENSMUSG00000003072,1968,1862,2051,1658,1977,1932,1491,1263,1360,1614,1983,2120
ENSMUSG00000003099,1125,893,805,846,927,967,661,520,605,672,1007,1087
ENSMUSG00000003119,799,645,641,599,619,724,460,452,542,547,804,762
ENSMUSG00000003123,52,63,80,68,84,44,54,54,80,66,52,66
ENSMUSG00000003131,2662,2325,2852,2104,2876,2846,1974,2041,2495,2331,2884,3568
ENSMUSG00000003134,271,267,177,136,183,221,195,371,160,163,181,244
ENSMUSG00000003135,393,364,351,281,312,455,253,230,263,241,427,468
ENSMUSG00000003153,1379,986,850,648,714,1129,493,590,461,567,817,1126
ENSMUSG00000003154,768,619,582,586,696,825,462,441,452,504,821,818
ENSMUSG00000003161,746,582,942,775,797,700,723,776,784,751,906,1009
ENSMUSG00000003166,1130,909,829,747,808,1039,531,576,734,761,809,1176
ENSMUSG00000003184,105,107,122,86,91,69,68,83,93,105,113,110
ENSMUSG00000003190,13,8,14,12,12,5,17,5,20,12,12,10
ENSMUSG00000003198,21,26,22,20,34,30,23,37,32,32,44,44
ENSMUSG00000003199,480,398,479,447,474,408,395,394,425,479,537,539
ENSMUSG00000003200,174,167,158,186,182,154,114,88,89,144,231,222
ENSMUSG00000003206,7,7,10,8,12,4,9,7,0,8,12,3
ENSMUSG00000003208,91,105,107,63,103,93,82,69,78,92,107,122
ENSMUSG00000003226,3305,2836,2774,2537,2903,3476,1978,1970,1797,2040,3495,3407
ENSMUSG00000003227,4,2,0,2,1,0,0,7,1,1,4,1
ENSMUSG00000003228,319,238,227,238,273,256,318,289,268,269,313,329
ENSMUSG00000003233,950,815,794,835,860,1046,640,481,655,725,982,1115
ENSMUSG00000003234,670,493,696,450,590,595,390,444,530,479,593,771
ENSMUSG00000003235,448,379,415,357,403,389,279,320,312,304,503,459
ENSMUSG00000003269,760,699,499,567,568,732,370,348,315,446,738,658
ENSMUSG00000003271,96,71,69,82,91,152,43,35,32,61,107,99
ENSMUSG00000003273,1185,1014,603,933,829,1030,774,1047,332,703,1017,857
ENSMUSG00000003279,11645,9125,7275,9931,8028,12190,6205,3313,2710,6366,11757,9349
ENSMUSG00000003282,58,48,35,36,30,43,22,46,30,28,60,52
ENSMUSG00000003283,12,12,27,20,30,13,19,15,20,9,13,14
ENSMUSG00000003299,277,233,245,220,304,240,226,211,211,250,303,339
ENSMUSG00000003308,890,684,795,667,761,789,523,643,631,695,877,881
ENSMUSG00000003309,12,6,7,3,9,5,4,4,2,4,8,9
ENSMUSG00000003316,3765,2996,2729,2368,2694,3384,1872,1939,2342,2045,2590,3824
ENSMUSG00000003341,1,2,3,0,4,4,6,3,7,7,1,3
ENSMUSG00000003344,857,644,743,651,705,693,580,557,560,595,759,812
ENSMUSG00000003345,1777,1584,1531,1960,1969,1769,1604,1345,1343,1588,2463,1830
ENSMUSG00000003346,757,719,536,759,678,630,653,484,415,644,834,620
ENSMUSG00000003348,90,89,132,101,99,102,74,71,108,70,102,120
ENSMUSG00000003352,3316,2872,1896,2756,2115,2874,1806,1272,892,1486,3267,2211
ENSMUSG00000003354,127,83,94,37,82,124,42,51,56,62,70,115
ENSMUSG00000003355,4,3,18,10,3,5,11,7,18,6,3,7
ENSMUSG00000003360,1043,898,984,833,988,1058,668,664,758,867,1177,1281
ENSMUSG00000003363,7119,5596,3731,4436,4012,6047,3094,3108,2137,2728,5845,5175
ENSMUSG00000003378,3084,2347,1825,2328,1851,2471,1574,1629,1015,1587,2509,2313
ENSMUSG00000003379,3,7,11,1,5,3,3,3,2,1,2,4
ENSMUSG00000003380,581,548,720,452,613,490,470,496,549,523,537,672
ENSMUSG00000003382,329,289,313,306,316,312,197,207,242,259,325,372
ENSMUSG00000003402,663,591,701,488,632,641,425,479,520,477,730,793
ENSMUSG00000003410,4435,3486,3571,3380,3827,4066,2789,2600,2797,3156,3998,4449
ENSMUSG00000003411,1064,625,579,412,424,959,309,533,253,283,527,770
ENSMUSG00000003418,78,66,171,105,173,69,113,97,209,120,114,158
ENSMUSG00000003420,95,117,165,80,79,88,89,122,84,103,128,187
ENSMUSG00000003421,479,338,348,337,341,389,230,262,270,308,361,466
ENSMUSG00000003423,227,166,178,151,168,197,141,128,91,138,193,188
ENSMUSG00000003429,1129,995,1283,1185,1379,909,1139,1368,1401,1387,1403,1144
ENSMUSG00000003435,2166,1629,1526,1399,1596,1933,1106,1125,1270,1239,1727,2219
ENSMUSG00000003436,26,9,25,14,19,12,9,14,23,20,23,17
ENSMUSG00000003437,738,511,627,387,536,596,355,367,397,432,586,559
ENSMUSG00000003438,253,207,245,180,263,208,165,177,175,211,289,271
ENSMUSG00000003444,166,158,144,122,186,128,99,96,126,166,207,169
ENSMUSG00000003452,1211,909,1214,882,1218,1200,867,822,1125,939,1460,1342
ENSMUSG00000003458,626,536,503,443,490,608,386,332,387,364,599,633
ENSMUSG00000003464,713,593,831,597,718,705,516,534,544,584,791,832
ENSMUSG00000003469,7909,6104,3723,4652,3788,7192,2724,2746,1093,2705,4726,5823
ENSMUSG00000003476,36,22,29,7,6,20,11,18,13,5,12,16
ENSMUSG00000003477,0,4,1,3,5,3,7,5,3,5,7,3
ENSMUSG00000003484,0,1,3,0,0,0,0,1,2,0,2,1
ENSMUSG00000003500,383,358,249,294,373,444,239,232,205,247,303,357
ENSMUSG00000003505,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000003518,2074,2290,1695,2517,2304,2454,1754,1136,1357,1778,2857,2413
ENSMUSG00000003526,156,160,151,217,203,146,167,201,146,203,210,221
ENSMUSG00000003527,299,225,216,201,205,268,150,145,122,189,250,260
ENSMUSG00000003528,316,280,403,276,361,258,225,311,361,247,314,397
ENSMUSG00000003531,391,341,440,380,372,410,275,288,305,361,455,424
ENSMUSG00000003534,502,568,601,453,623,421,438,423,582,504,477,681
ENSMUSG00000003541,79,55,66,66,98,106,33,29,41,46,76,79
ENSMUSG00000003545,289,270,123,270,387,533,88,110,62,138,516,386
ENSMUSG00000003546,164,152,182,123,182,127,107,145,173,164,175,188
ENSMUSG00000003549,94,111,103,106,124,103,92,77,68,90,142,124
ENSMUSG00000003555,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000003559,73,66,199,124,136,81,118,177,197,153,154,148
ENSMUSG00000003573,69,108,186,299,165,120,145,64,85,145,139,175
ENSMUSG00000003575,3320,3003,2393,3345,2455,3007,2317,2182,947,2367,3669,2731
ENSMUSG00000003581,148,100,150,124,128,102,109,136,164,139,133,154
ENSMUSG00000003585,510,481,603,573,531,532,401,319,395,468,604,663
ENSMUSG00000003604,76,83,107,44,107,54,76,48,82,72,106,89
ENSMUSG00000003617,231,207,495,195,257,259,226,178,232,215,229,411
ENSMUSG00000003623,154,170,200,195,188,172,168,218,126,170,263,276
ENSMUSG00000003644,161,127,219,146,156,126,129,131,168,164,173,200
ENSMUSG00000003657,280,203,848,106,537,186,236,286,1182,453,175,671
ENSMUSG00000003660,2040,1771,1472,1302,1452,1934,1074,1118,1085,1135,1546,2068
ENSMUSG00000003662,510,421,463,394,550,469,353,324,337,430,547,508
ENSMUSG00000003665,12,0,2,0,8,10,2,3,8,3,4,15
ENSMUSG00000003680,133,104,106,99,117,118,57,91,92,93,92,123
ENSMUSG00000003721,348,346,481,372,425,441,404,355,444,392,490,563
ENSMUSG00000003731,1428,1037,1048,971,1123,1343,816,678,873,913,1190,1445
ENSMUSG00000003746,776,395,540,320,464,904,263,390,178,338,618,825
ENSMUSG00000003752,96,75,101,104,99,81,53,40,55,79,92,93
ENSMUSG00000003762,185,157,151,78,126,149,104,120,74,79,135,176
ENSMUSG00000003778,558,437,469,403,558,466,408,334,391,396,536,598
ENSMUSG00000003779,15,6,5,1,5,4,6,6,3,5,10,12
ENSMUSG00000003808,179,174,160,149,167,152,111,125,95,117,165,162
ENSMUSG00000003809,188,139,164,125,142,133,100,157,146,156,177,193
ENSMUSG00000003810,2277,1894,1944,2003,2119,2168,1421,1370,1565,1748,2752,2229
ENSMUSG00000003812,34,37,45,52,26,36,35,42,14,31,28,28
ENSMUSG00000003813,696,603,681,515,664,583,441,431,575,534,688,790
ENSMUSG00000003814,4347,3564,3503,2700,3703,3712,2539,2570,2644,2949,3609,4320
ENSMUSG00000003824,11,15,13,28,12,2,5,8,9,10,11,17
ENSMUSG00000003847,2769,2032,2350,1817,2186,2607,1520,1450,1529,1665,2630,2465
ENSMUSG00000003848,152,129,159,128,122,165,90,95,122,135,163,184
ENSMUSG00000003849,24,26,77,27,41,37,41,63,43,44,51,41
ENSMUSG00000003863,2584,2228,1477,2475,1894,2373,1560,1145,965,1496,2317,1923
ENSMUSG00000003865,215,178,180,151,185,208,151,171,154,186,204,248
ENSMUSG00000003868,260,226,269,201,272,251,186,208,224,183,314,296
ENSMUSG00000003872,366,341,281,317,338,300,238,276,173,234,439,333
ENSMUSG00000003873,156,148,146,130,158,138,107,126,114,131,137,172
ENSMUSG00000003882,8,5,6,0,9,3,3,6,1,2,5,2
ENSMUSG00000003923,411,346,423,338,385,377,309,321,343,410,454,501
ENSMUSG00000003929,458,415,424,360,342,517,304,359,264,317,494,518
ENSMUSG00000003934,1227,917,1358,792,998,802,867,907,893,945,866,1328
ENSMUSG00000003948,2036,1672,1651,1806,1465,2013,1050,885,414,1179,1979,1803
ENSMUSG00000003949,2636,2737,2344,3043,3419,3560,2690,1672,2035,3053,4017,4186
ENSMUSG00000003955,228,195,238,183,238,182,208,229,216,256,262,233
ENSMUSG00000003970,1664,1437,1913,1744,1882,1547,1603,1729,1624,1699,2270,1906
ENSMUSG00000003974,1114,1140,826,1235,1254,1413,974,1078,515,946,1770,1356
ENSMUSG00000003992,1618,1111,1138,840,1232,1388,693,1081,691,996,1360,1599
ENSMUSG00000004018,71,57,85,36,67,67,27,57,45,42,61,54
ENSMUSG00000004031,1823,1421,798,955,1023,1606,829,523,523,743,1252,1187
ENSMUSG00000004032,679,610,700,782,816,590,601,758,607,822,965,824
ENSMUSG00000004035,127,152,265,178,330,168,191,177,343,230,187,243
ENSMUSG00000004038,0,0,0,0,1,1,1,0,1,0,0,0
ENSMUSG00000004040,614,485,564,468,519,504,368,426,470,409,504,620
ENSMUSG00000004043,20,18,37,20,51,24,32,24,35,21,24,49
